chave,idade,corRaca,trancamentos,notaIngresso,escolaPublica,nota,falta,ultimoSemestre,quantidadeRematricula,numDisciplinaUltimo,tempoUniversidade,aprovados,matriculado,reprovado_falta,reprovado_media,sexo_code,estadoCivil_code,deficiencia_code,matutino,vespertino,noturno,tipoVaga_code,moraCampus,grande_area,tempo_2_grau_superior,evadido
20C2477A-862A-43E7-ACDF-45A46BF52B09,25.0,1,0,447.34,0,6.438298969072164,2.061855670103093,10.0,12,1,13,80.0,1.0,4.0,12.0,1,0,0,1,1,0,0,0,3,4,0
D100A5C7-50C1-44D7-96A5-8041654AA6BA,27.0,0,0,556.82,0,4.999999999999999,5.4423076923076925,6.0,8,3,8,39.0,0.0,5.0,8.0,1,0,0,1,1,0,0,0,3,8,1
74FD28D4-591F-403D-B6A6-DF0345B8C027,28.0,1,2,559.64,0,5.906071428571428,4.428571428571429,4.0,2,1,7,25.0,0.0,3.0,0.0,0,0,0,1,1,0,0,0,3,10,1
95369D03-1EA2-4B68-B55A-7BC26DBD3C7B,26.0,1,0,652.64,0,1.792857142857143,13.142857142857142,1.0,1,7,1,1.0,0.0,2.0,4.0,0,0,0,1,0,0,1,0,6,6,1
45988FDC-8D05-49AA-9A11-DE420ABC0258,23.0,0,0,619.94,1,5.506803278688524,6.491803278688525,8.0,12,6,11,41.0,7.0,3.0,10.0,0,0,0,1,0,0,1,0,6,2,0
F6FD3A08-9746-4B61-90E1-3D0000736F9A,25.0,0,0,683.56,0,3.0742857142857143,8.857142857142858,1.0,1,7,1,2.0,0.0,2.0,3.0,1,0,0,1,0,0,1,0,6,2,1
8E3D9912-3CC4-4C1F-AB77-C80CA8161751,23.0,0,1,645.72,0,6.246666666666666,7.5,4.0,3,1,3,9.0,0.0,1.0,2.0,1,0,0,1,0,0,1,0,8,2,1
8344CD83-7765-4813-8DF7-A00FDCB85F68,24.0,0,0,607.34,0,0.0,77.0,1.0,1,0,1,0.0,0.0,4.0,0.0,1,0,0,0,1,0,1,0,1,6,1
41BA9EAA-D5A6-4FBC-8C9D-8C4BA8FF192F,25.0,1,1,569.86,0,6.584878048780488,6.341463414634147,8.0,7,1,7,35.0,0.0,2.0,4.0,0,0,0,0,0,1,1,0,1,2,1
F719CE00-6D94-4955-842A-A1AF72858F33,28.0,1,0,598.8,0,7.887037037037037,8.74074074074074,8.0,10,2,10,52.0,0.0,1.0,1.0,1,0,0,1,1,0,1,1,7,8,0
00AF8DED-339A-4546-9395-85BBFC9184F1,26.0,1,0,733.8,0,6.965089285714285,1.8571428571428568,11.0,11,3,11,52.0,4.0,0.0,0.0,0,0,0,1,1,0,1,0,4,4,0
7C72071E-2379-4C99-934C-C05106F50F38,28.0,0,0,741.4,0,6.394910714285714,2.0,11.0,11,3,11,50.0,5.0,0.0,1.0,0,0,0,1,1,0,1,0,4,4,0
5DDD8DD8-8B7B-4296-9178-A14A2514F233,29.0,1,0,538.88,0,5.755526315789474,13.36842105263158,8.0,8,2,8,31.0,0.0,5.0,2.0,1,0,0,0,0,1,1,0,7,10,0
356CDDEE-50F5-4C3A-BDF7-2388731A7035,26.0,0,0,462.78,1,6.604285714285714,3.3506493506493507,10.0,12,4,11,73.0,0.0,0.0,4.0,0,0,0,1,1,0,1,0,5,2,0
A5F4E142-E39D-4C7D-905F-3F2F6C17CBF9,25.0,0,0,484.94,0,5.617192982456141,5.842105263157895,8.0,13,3,13,43.0,0.0,3.0,11.0,0,0,0,1,1,0,1,0,4,2,0
CB033A44-FBD7-42F7-A2F5-6233F7E7701F,33.0,1,3,556.8,0,3.707142857142857,38.71428571428572,8.0,3,1,3,7.0,0.0,7.0,0.0,0,0,0,0,0,1,1,0,7,18,1
A5493A11-856E-45BF-8376-A1ACFE4E1E03,30.0,1,1,20.0,0,6.909264705882354,6.029411764705882,7.0,7,3,9,31.0,0.0,0.0,3.0,0,0,0,1,0,0,1,0,6,10,1
FF7490A8-D56F-40FE-9EBC-A5A41BF2F969,31.0,1,3,19.0,0,4.159000000000001,39.2,2.0,2,1,3,5.0,0.0,5.0,0.0,0,0,0,1,0,0,1,1,6,8,1
0E49F120-4B80-4C6C-99C1-206EAD9C369D,27.0,1,1,14.0,1,4.239999999999999,14.743589743589745,3.0,7,1,14,26.0,0.0,9.0,4.0,0,0,0,0,1,0,1,0,1,6,1
DB1B1B77-8EAB-4E00-814C-49B2A35D331C,25.0,1,2,21.0,0,1.6148214285714284,28.0,2.0,3,8,4,6.0,0.0,20.0,2.0,0,0,0,1,1,0,1,0,4,2,0
55E39AF5-0DF9-423C-86F4-8746BABCDDD9,43.0,1,3,15.0,0,1.708611111111111,21.944444444444443,3.0,6,2,9,6.0,0.0,22.0,8.0,1,0,0,1,1,0,1,0,5,32,1
22B08654-EE91-4BAC-81A3-601859B60E46,26.0,1,0,12.0,0,4.344035087719298,6.754385964912281,7.0,13,1,14,30.0,0.0,7.0,20.0,1,0,0,1,1,0,1,0,3,4,0
3F7CA441-A52E-4D9E-BFEA-29B231753E83,64.0,1,0,15.0,0,0.205,59.71428571428572,1.0,1,7,1,0.0,0.0,6.0,1.0,0,1,0,1,0,1,1,0,8,20,1
ABB81FA8-F9BF-4FBD-8779-E75682854F4B,50.0,1,0,17.0,0,3.2256249999999995,34.75,4.0,6,1,11,11.0,2.0,10.0,1.0,0,0,0,1,0,1,1,0,8,46,0
370A3508-7B96-419D-8A2C-EC150BA949D0,34.0,1,0,20.0,0,3.9554545454545456,8.727272727272727,9.0,9,1,9,16.0,0.0,6.0,11.0,0,0,0,0,0,1,1,0,6,18,1
8EE8FAE1-43B0-4126-A4BE-5D4FD3800ED5,30.0,1,3,15.0,0,0.0,42.0,1.0,1,0,1,0.0,0.0,5.0,0.0,0,0,0,1,0,0,1,0,7,14,1
FA45405C-5C90-43BB-BAB4-6A9B1D27DD8D,47.0,1,1,19.0,0,5.707741935483871,8.0,7.0,7,4,11,23.0,0.0,2.0,6.0,0,0,0,0,0,1,1,0,7,38,1
49B7ECF4-F670-417B-96B2-F58C4C97BAA8,30.0,1,0,17.0,0,8.282222222222222,1.7777777777777777,4.0,4,11,7,45.0,0.0,0.0,0.0,0,0,0,0,1,0,1,1,7,14,0
C72BE45F-DAC8-41D0-AADC-5EC04A4E1ABD,26.0,0,0,661.82,1,8.764878048780488,7.975609756097561,9.0,10,3,10,41.0,0.0,0.0,0.0,0,0,0,1,1,0,1,1,4,4,0
7B785333-8297-4AEE-B613-39CD46A22CCE,26.0,0,0,668.16,0,8.030384615384616,1.2692307692307692,4.0,5,4,5,25.0,0.0,0.0,1.0,0,0,0,1,1,0,1,0,4,8,1
178E6D77-2CD2-4FF2-A48A-B6D732F386F6,24.0,0,0,675.1,0,8.761875,6.0,2.0,2,8,2,16.0,0.0,0.0,0.0,0,0,0,1,1,0,1,0,4,4,1
